location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.6347700637161952
austin,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.3061041703498534
baltimore,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.754420523065486
bangor,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.31343799003452477
beaumont,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.701614172331568
boston,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.3723373144539257
boulder,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.701934880185965
charleston,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.16748665246286515
cherokee,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.6804667829493418
clt-area,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,3.339592452136875
colorado,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.6844614005547939
colorado-springs,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.40984171572545647
columbia,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.09571122874509158
columbus,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.20483260394899488
dallas,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.5104934357098798
denver,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4388077414505778
duluth,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.23912583795059644
el-paso,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7073171353214426
fay-area,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,2.5600379496339545
florence,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.16370850456415267
floyd,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7741322652654973
frederick,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.37234885350995295
georgia,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.9051844431807795
greenville,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.22426065451237057
hall,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.13501124978983048
harford,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.3420639997205917
henry,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.2789714209932463
horry,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.23940230284602798
houston,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4286107765080088
indiana,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.6250625722221881
indianapolis,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.21344669362480997
la-grange,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.5310673551959777
larimer,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.5235738544278593
lynn,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4103770584723265
macon,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4105544253758105
maine,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.43829661976965334
marietta,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.10044772954524597
maryland,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7097964195994612
massachusetts,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.9303431211382441
mesa,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.2991134905131498
minneapolis,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7394103547316165
minnesota,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7208056666797754
montgomery,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.5096657941842647
nenc,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,2.786701613761639
new-bedford,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.7884161359859752
north-carolina,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,2.330023001721558
nyc,2025-12-20,0,2025-12-20,ILI ED visits pct,quantile,0.025,3.9175222053679764
ogden,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.5820798192856397
pittsfield,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.08414022546822528
portland,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.1769197242930371
provo,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.059731644267021
roanoke,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.1515236222128071
rochester,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.13200881277888812
rock-hill,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4506867453635782
rtp-area,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.6896945542683386
salt-lake-city,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4905088755630186
san-antonio,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.4368224531409306
savannah,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.07893845970737848
senc,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.0407243384818086
south-augusta,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.062443072026306605
south-carolina,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.6524892577330259
springfield,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.36300203870701764
st-cloud,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.2634824103903883
st-paul,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.9268007730887935
texas,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.0063950295271185
triad-area,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.941798341699968
utah,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.9335995664464241
virginia,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.43186437592226823
weld,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.695438238207946
wnc,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,1.2055743757650665
worcester,2025-12-20,0,2025-12-20,Flu ED visits pct,quantile,0.025,0.1403971234564195
athens,2025-12-20,1,2025-12-27,Flu ED visits pct,quantile,0.025,0.5362013111844253
